Reorder,Item Name,SKU,Vendor,Location,Sub-Location,Location Details,Amount in Stock,Units,Vendor Qty,Date Opened,Expiration Date,Storage Temperature,Storage Instructions,Notes,URL
,Acid Phosphatase (Steps 1 and Step 2),,ISP,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,5,tubes (each step 1 and step 2),,,,,,,
,AmpF STR AmpliTaq Gold Polymerase,4311806,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,50,rxns,250,,,,,,
,Ampflstr™ Identifiler™ Direct PCR Amplification Kit,4467831,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,50,rxns,200,,,,,,
,Ampflstr™ Identifiler™ Plus PCR Amplification Kit,4427368,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,Fridge & Freezer,450,rxns,200,,,,,,https://www.thermofisher.com/order/catalog/product/A26364
,Applied Biosystems 7500 Real Time PCR Systems Spectral Calibration Kits,43-491-80,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,2,kit,1,,,,,,https://www.fishersci.com/shop/products/7500-real-time-pcr-systems-spectral-calibration-kit-i-2/4349180
,"Applied Biosystems MicroAmp Optical 8-Tube Strip, 0.2mL",4316567,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,375,strips,125,,,,,,https://www.thermofisher.com/order/catalog/product/4316567
,"Applied Biosystems TaqMan Fast Universal PCR Master Mix (2X), No AmpErase UNG",4352042,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,285,units,250,,,,,"FYI, there is 225 rxns of AP biosystems and 60 rxns of Promega MM",https://www.thermofisher.com/order/catalog/product/4364103
,"Art® 200 Self-Sealing Barrier Pipet Tips, Molecular BioProducts, MicroPoint, Volume=1–200 µL, Length=5.88 cm (2 5 / 16 ), Sterility=Sterile",2069PK,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,171,Trays,960,,,,,,https://www.thermofisher.com/order/catalog/product/2069PK
,"Art® REACH™ Pipette Tips, Thermo Scientific, ART® 1000 REACH™ Tips, Volume:100–1000 µL, Length:12.07 cm (4 3 / 4 ), Packed:100/Rack, Sterility:Sterile",2079E,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,15,Trays,3200,,,,,,https://www.thermofisher.com/order/catalog/product/2079
,"ART™ Barrier Pipette Tips in Lift-off Lid Rack, ART 20, Filtered, Sterile",2149PPK,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,1700,units,960,,,,,,https://www.thermofisher.com/order/catalog/product/2149PPK?SID=srch-hj-2149PPK
,BigDye XTerminator™ Purification Kit,4376486,Thermo Fisher Scientific,SELB Prep Area (EL 121),,,100,rxns,100,,,,,,https://www.thermofisher.com/order/catalog/product/4376484?SID=srch-hj-4376484#/4376484?SID=srch-hj-4376484
,BigDye XTerminator™ Sequencing Kit,4337455,Thermo Fisher Scientific,SELB Prep Area (EL 121),,,50,rxns,100,,,,,,https://www.thermofisher.com/order/catalog/product/4337457?SID=srch-srp-4337457
,Bleach,,,Forensic Bio Lab (EL 123),,,1,bottles,,,,,,,
,"Custom mtDNA Primers (15989F, 389R)",,IDT (Integrated Device Technology),Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,100,mg,,,,,,,https://www.idtdna.com/site/order/oligoentry
,DS180 (F/R Primer),,IDT (Integrated Device Technology),Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,100,mg,,,,,,,https://www.idtdna.com/site/order/oligoentry
,Exosap IT for PCR Product Clean Up,78200.200.UL,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,99,rxns,,,,,,,https://www.thermofisher.com/order/catalog/product/78200.200.UL#/78200.200.UL
,FastDigest Alul,,,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,100,rxns,,,,,,,
,Fisherbrand™ Disposable Lab Coats,12-893-0064A,Fisher Scientific,Forensic Chemistry Lab (EL 135),FIS Bio Lab Rear Shelf,,7,cases,,,,,,,https://www.fishersci.com/shop/products/disposable-lab-coats-10/128930064A?searchHijack=true&searchTerm=disposable-lab-coats-10&searchType=Rapid&matchedCatNo=128930064A
,Genescan 600 LIZ dye Size Standard v2.0,4408399,Thermo Fisher Scientific,SELB Prep Area (EL 121),Fridge,,1,boxes,,,,,,,https://www.thermofisher.com/order/catalog/product/4408399
,Hi-Di Formamide,,Applied Biosystems,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,5,mL,,,,,,,
,Hydrogen Peroxide,,,SELB Prep Area (EL 121),Fridge,,1,bottles,,,,,,,
,"Invitrogen ambion 10X TBE, Powder",AM9864,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,9,packets (makes 1L 10x),,,,,,,https://www.thermofisher.com/order/catalog/product/AM9864
,Invitrogen ambion Proteinase K Solution (20mg/mL),AM2548,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,6,boxes,6,ml,,,,,https://www.thermofisher.com/order/catalog/product/AM2548
,"Invitrogen ambion Thin walled, Frosted Lid, RNase free PCR Tubes, 0.2mL",AM12225,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,500,tubes,1000,,,,,,https://www.thermofisher.com/order/catalog/product/AM12225
,Invitrogen chargeswitch Lysis Buffer L13,CS11202,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,700,mL,,,,,,,https://www.thermofisher.com/order/catalog/product/CS11202
,Invitrogen qubit Assay Tubes,Q32856,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,600,tubes,500,,,,,,https://www.thermofisher.com/order/catalog/product/Q32856
,"Micropoint, extended length, ART 10 REACH, Thermo Scientific, MicroPoint, extended length, low retention, Volume=10 µL, Length=4.3 cm (1.7), Sterility=Sterile",2149-EPK,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,81,Trays,,,,,,,https://www.thermofisher.com/order/catalog/product/2149EPK
,Nuclease Free Water,,Ambion,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,400,mL,,,,,,,
,Nunc™ 15mL  Conical Sterile Polypropylene Centrifuge Tubes,339651,,,,,25,tubes,25,,,,,,
,Nunc™ 50mL Conical Sterile Polypropylene Centrifuge Tubes,352098,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),,,450,tubes,,,,,,,https://www.thermofisher.com/order/catalog/product/339650?SID=srch-hj-339650#/339650?SID=srch-hj-339650
,"Phenol:chloroform:isoamyl Alcohol 25:24:1, Saturated with 10mM Tris, pH 8.0, 1mM EDTA,for molecular biology",P3803-100ML,Sigma-Aldrich,SELB Prep Area (EL 121),Fridge,,180,mL,,,,,,,http://www.sigmaaldrich.com/catalog/product/SIGMA/P3803?lang=en&region=US
,Potassium Iodide (2M),,,Forensic Chemistry Lab (EL 135),Corrosive Cabinet,,500,mL,,,,,,,
,Quantifiler™ Trio DNA Quantification Kit,4482910,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,150,rxns,200,,,,,,https://www.thermofisher.com/order/catalog/product/4482910
,Qubit™ dsDNA BR Assay Kit,Q32850,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),,Fridge,100,rxns,100,,,,,,https://www.thermofisher.com/order/catalog/product/Q32850
,RSID Semen,230,Independent Forensics,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Bookshelf,,49,tests,25,,,,,,https://www.ifi-test.com/rsid-semen/
,"Snap Cap Low Retention Graduated Microcentrifuge Tubes, 2 mL, Sterile, Natural",3453,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,5900,tubes,,,,,,,https://www.thermofisher.com/order/catalog/product/3434
,"Sodium chloride, 99.5%, for biochemistry",447302500,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,250,g,,,,,,,https://www.thermofisher.com/order/catalog/product/447302500?SID=srch-srp-447302500
,Spin Baskets,V1221,Promega,Forensic Bio Lab (EL 123),FIS Bio Lab Side Bookshelf,,900,tubes,,,,,,,https://www.promega.com/products/forensic-dna-analysis-ce/human-specific-dna-quantitation/consumables-for-dna-extraction-pcr-qpcr-and-ce-applications/?catNum=V1221
,SRI Xmas Tree Stain,NC1876722,Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,1,bottles (1x Stain A; 1x Stain B),,,,,,,https://www.fishersci.com/shop/products/xmas-tree-stain-1/NC1876722
,SYBR Safe DNA Gel Stain,,,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,1120,mL,,,,,,,
,Thermo Scientific DTT,R0861,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,20,mL,,,,,,,https://www.thermofisher.com/order/catalog/product/R0862
,Thermo Scientific GeneRuler Ready to use 100bp DNA Ladder,SM0243,Thermo Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,,50,ug,50,,,,,,https://www.thermofisher.com/order/catalog/product/SM0243
,Thermo Scientific TopVision Agarose,R0491,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,480,g,,,,,,,https://www.thermofisher.com/order/catalog/product/R0491
,Tris-EDTA (1x),,Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Rear Shelf,,350,mL,,,,,,,
,Yfiler™ Plus PCR Amplification Kit,4484678,Thermo Fisher Scientific,Forensic Bio Lab (EL 123),FIS Bio Lab Freezer,Fridge & Freezer,50,rxns,,,,,,,https://www.thermofisher.com/order/catalog/product/4484678
,Fisherbrand™ Wood Handled Cotton Swabs and Fisherbrand™ Synthetic-Tipped Applicators,22-363-173,Fisher Sci,Forensic Bio Lab (EL 123),Back Shelf,,1100,swabs,100,,,20,Are sterile,,https://www.fishersci.com/shop/products/synthetic-tipped-applicators-4/p-7146853#?keyword=
,RSID™ Blood,330,Independent Forensics,Forensic Bio Lab (EL 123),Back Shelf,,38,kits,25,,,2,"Keep Buffer at 2, rest at room temp",,https://www.ifi-test.com/rsid-blood/
,Sodium Acetate Anhydrous (White Crystals or Granular Powder),BP333-500,Fisher Scientific,Forensic Bio Lab (EL 123),Rear Shelf,,200,g,500,,,Room,,,https://www.fishersci.com/shop/products/sodium-acetate-anhydrous-white-crystals-granular-powder-fisher-bioreagents-2/BP333500
,Fast Blue B Salt,D9805-10G,Sigma Aldrich,SELB Prep Area (EL 121),Freezer,,25,gram,10,,,2-8C,Keep away from light,,https://www.sigmaaldrich.com/US/en/product/sial/d9805
,"1-Naphthyl phosphate disodium salt hydrate, 99%","B22866-03
",Thermo Scientific,SELB Prep Area (EL 121),Freezer,,1,gram,1,,,0C,,,https://www.thermofisher.com/order/catalog/product/B22866.03
,Acid Phosphatase,,Thermo Scientific,Forensic Bio Lab (EL 123),Freezer,,800,mg,,,,,,,
,Qubit™ dsDNA HS Assay Kit,,Thermo Fisher Scientific,SELB Prep Area (EL 121),Fridge,,200,rxns,100,,,,,,
,Ethanol,,,SELB Prep Area (EL 121),,,0,,,,,,,,
,MicroAMP Optical 8-Cap Strip,4323032,Applied Biosystems,Forensic Bio Lab (EL 123),,Side Bookshelf,900,strips,300,,,,,,
,MicroAMP Optical 96-Well Reaction Plate,N8010560,Applied Biosystems,Forensic Bio Lab (EL 123),,Side Bookshelf,38,plates,10,,,,,,
,"Micropoint, extended length, ART 10 REACH, Thermo Scientific, MicroPoint, extended length, low retention, Volume=20 µL, Length=4.3 cm (1.7), Sterility=Sterile",,,,,,640,Trays,,,,,,,
,RSID™ Saliva,,,,,,73,Kits,25,,,,,,
,Chelex 100 ,95577,Fluka,,,,,,,,,,,,
,Christmas Tree Stain A & B,,,,,,,,,,,,,,